Response ID,"To begin, please tell us which of these is true for your housing during the 2022-2023 academic year?",Do you have someone at CU Boulder you consider a mentor?,What is your likelihood of returning to CU Boulder in fall 2023?,How do you describe your race/ethnicity? Please select all that apply. - Selected Choice,Are you currently receiving financial aid? (Select all that apply),Entry_Type,FirstGen_Status,School_College,Please indicate your level of agreement with each of the following statements. - I belong at CU Boulder.,Please indicate your level of agreement with each of the following statements. - I fit in well at CU Boulder.,Please indicate your level of agreement with each of the following statements. - People at CU Boulder accept me.,Please indicate your level of agreement with each of the following statements. - I feel a connection with the CU Boulder community.,Please indicate your level of agreement with each of the following statements. - People on campus are generally supportive of my individual needs.,Please indicate your level of agreement with each of the following statements. - There are people on campus who are genuinely interested in me as a person.,Please indicate your level of agreement with each of the following statements. - There are people on campus who care about my future.
R_Y0knX0rO5sfiBEt,I did not live in housing provided by CU this year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",T,0,Coll Engineering & AppSci UGRD,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_3RmxwdQ8ZUSqyT9,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_R4gwOzsktdcdxct,I did not live in housing provided by CU this year,No,Unlikely,White or European American,"Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree
R_2QPTEiGXrOh4Sdf,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree
R_3niP402yUF7fjSg,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree
R_7TVkiGQ9O0cFXtn,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, scholarships and/or grants",F,1,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
R_3lGrJC3sbA7ecCf,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
R_1gOUtMs7djmZ3Ha,I did not live in housing provided by CU this year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,0,College Arts & Sciences UGRD,Disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree
R_2dtK9Ph68DtmaxI,I did not live in housing provided by CU this year,No,Likely,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants",T,1,College Arts & Sciences UGRD,Disagree,Disagree,,Disagree,Slightly disagree,Disagree,Agree
R_CfR3DenXg1vI06t,I lived in housing provided by CU for the entire year,No,Possible,Asian or Asian American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,"Coll of Media,Comm&Info UGRD",Disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Disagree
R_0GUsnfxHBZcMPKN,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Agree,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Agree
R_3qaLjsANRH683b1,I lived in housing provided by CU for the entire year,No,Possible,White or European American,Prefer not to state,F,0,Program in Exploratory Studies,Disagree,Disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree
R_aialqf5EXykkMj7,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
R_puz8BrpU8A6KviV,I lived in housing provided by CU for the entire year,No,Unlikely,Asian or Asian American,No,F,0,College Arts & Sciences UGRD,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
R_1dbjeOSCM3SNQ8V,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_YWxr4gG10s8jtSh,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Agree,Slightly agree,Strongly agree,Agree
R_2e3inC5yMLT8j9r,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree
R_4JwTEcKNZyrVEel,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Agree,Agree,Agree,Agree,Agree
R_21hKHeuNzcECk4O,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
R_241K4zmj4IFUOfe,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_10GAIx8b6h6hV8n,I did not live in housing provided by CU this year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin",No,F,0,College Arts & Sciences UGRD,,,,,,Slightly disagree,Disagree
R_3PvjOKnA6XuIcIX,I lived in housing provided by CU for the entire year,Yes,Certain,Black or African American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
